trial,1,2,3,4,5,6,7,8,9,10
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1.0,46.149936667,40.679225666,44.441175125,33.062048833,36.691234209,35.48218425,36.648711708,45.687413916,46.878789583,0.907280542
2.0,28.76901925,18.471695833,40.384903875,36.245029375,30.086982583,45.240089417,46.339308125,48.932601125,45.292362417,0.975443125
