trial,1,2,3,4,5,6,7,8,9,10
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1.0,1.61434266e8,3.9447712e7,4.0622704e7,3.4804528e7,3.8846832e7,3.8586416e7,3.910608e7,4.9838256e7,5.0599744e7,4.3832912e7
2.0,2.7688528e7,1.797912e7,4.2163168e7,3.855704e7,3.3433472e7,4.80484e7,4.8654208e7,4.8955984e7,4.9417952e7,4.434448e7
