trial_number,budget_1,budget_2,budget_3,budget_4,budget_5,budget_6,budget_7,budget_8,budget_9,budget_10,budget_11,budget_12,budget_13,budget_14,budget_15,budget_16
1.0,0.0,0.0,0.1875090897458883,0.41240567081894774,0.41240567081894774,0.6898857320920015,0.6898857320920015,0.6898857320920015,0.6898857320920015,0.6898857320920015,0.6898857320920015,0.6898857320920015,0.6898857320920015,0.6898857320920015,0.6898857320920015,0.6898857320920015
2.0,0.0,0.0,0.1507419395783508,0.5711849505421179,0.5711849505421179,0.5711849505421179,0.696926296475587,0.7452926398052916,0.7452926398052916,0.7452926398052916,0.7452926398052916,0.7452926398052916,0.7452926398052916,0.7452926398052916,0.7452926398052916,0.7452926398052916
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10442574235951993,0.10442574235951993,0.10442574235951993,0.10442574235951993,0.6666797894625793
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13358825427657506,0.13358825427657506,0.13358825427657506,0.13358825427657506,0.13358825427657506,0.13358825427657506,0.13358825427657506,0.13358825427657506,0.13358825427657506
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07252238721376195,0.07252238721376195,0.07252238721376195,0.07252238721376195,0.07252238721376195,0.07252238721376195,0.07252238721376195
6.0,0.0,0.0,0.0,0.0007384670253325616,0.6064144732122382,0.6064144732122382,0.926525681312065,0.926525681312065,0.926525681312065,0.9648537718831676,0.9648537718831676,0.9648537718831676,0.9989393178479438,0.9989393178479438,0.9989393178479438,0.9989393178479438
7.0,0.0,0.098213675544904,0.098213675544904,0.098213675544904,0.098213675544904,0.098213675544904,0.098213675544904,0.098213675544904,0.098213675544904,0.098213675544904,0.098213675544904,0.098213675544904,0.098213675544904,0.098213675544904,0.098213675544904,0.098213675544904
8.0,0.0,0.0,0.0007625994576837302,0.0007625994576837302,0.0007625994576837302,0.3439472744488802,0.3439472744488802,0.3439472744488802,0.3439472744488802,0.3439472744488802,0.6929747265246723,0.6929747265246723,0.6930528238551288,0.6930528238551288,0.6930528238551288,0.8154724554160566
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19013614520251243,0.19013614520251243
10.0,0.0,0.0,0.019318676545969016,0.36714886666083546,0.5798997490420703,0.5798997490420703,0.5798997490420703,0.5798997490420703,0.5820440824201988,0.9092884844329523,0.9092884844329523,0.9092884844329523,0.9092884844329523,0.9092884844329523,0.9092884844329523,0.9092884844329523
11.0,0.0,0.0,0.2772963457668966,0.2772963457668966,0.2772963457668966,0.2772963457668966,0.6937692341044993,0.6937692341044993,0.8727125703438972,0.8727125703438972,0.9867684313605686,0.9867684313605686,0.9867684313605686,0.9867684313605686,0.9867684313605686,0.9867684313605686
12.0,0.0,0.0,0.7250238007357429,0.7250238007357429,0.7250238007357429,0.7250238007357429,0.7309807380017882,0.9175376120671557,0.9175376120671557,0.9175376120671557,0.9987177299774105,0.9987177299774105,0.9987177299774105,0.9987177299774105,0.9987177299774105,0.9987177299774105
13.0,0.0,0.3436034119959627,0.3436034119959627,0.3436034119959627,0.41051850929736067,0.41051850929736067,0.41051850929736067,0.9670403372224957,0.9670403372224957,0.9670403372224957,0.9670403372224957,0.9670403372224957,0.9670403372224957,0.9670403372224957,0.997955735292413,0.997955735292413
14.0,0.0,0.6329529376283959,0.6329529376283959,0.6329529376283959,0.6345957511746229,0.6345957511746229,0.6345957511746229,0.9049450767278098,0.9956279061163703,0.9956279061163703,0.9956279061163703,0.9956279061163703,0.9956279061163703,0.9956279061163703,0.9956279061163703,0.9956279061163703
15.0,0.0,0.9926340752946081,0.9926340752946081,1.0000007233361596,1.0000007233361596,1.0000007233361596,1.0000007233361596,1.0000007233361596,1.0000007233361596,1.0000007233361596,1.0000007233361596,1.0000007233361596,1.0000007233361596,1.0000007233361596,1.0000007233361596,1.0000007233361596
