trial_number,budget_1,budget_2,budget_3,budget_4,budget_5,budget_6,budget_7,budget_8,budget_9,budget_10,budget_11,budget_12,budget_13,budget_14,budget_15,budget_16
1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.0,0.0,0.0,0.031591977531040975,0.18190728497929637,0.25257038401691884,0.3500236534058725,0.3500236534058725,0.3500236534058725,0.3500236534058725,0.3500236534058725,0.3500236534058725,0.3500236534058725,0.3500236534058725,0.3500236534058725,0.3500236534058725,0.3500236534058725
4.0,0.0,0.0,0.0,0.4629749089523048,0.5321835995073759,0.96446749507901,0.9987483393913896,0.9987483393913896,0.9987483393913896,0.9987483393913896,0.9987483393913896,0.9987483393913896,0.9987483393913896,0.9987483393913896,0.9987483393913896,0.9987483393913896
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10.0,0.0,0.001813074162505969,0.001813074162505969,0.001813074162505969,0.001813074162505969,0.001813074162505969,0.001813074162505969,0.001813074162505969,0.001813074162505969,0.001992564207786114,0.001992564207786114,0.001992564207786114,0.017467897637845127,0.017467897637845127,0.017467897637845127,0.017467897637845127
11.0,0.0,0.0,0.008193860299166432,0.038178651931071124,0.038178651931071124,0.038178651931071124,0.07233332292013377,0.07233332292013377,0.07233332292013377,0.11713943121457412,0.11713943121457412,0.11713943121457412,0.11713943121457412,0.11713943121457412,0.11713943121457412,0.11713943121457412
12.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
