trial,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1.0,0.0,0.0,0.08578146467067164,0.8983189119278394,0.9974747596915724,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.0,0.0,0.9993239968393987,0.9993239968393987,0.9999384205131856,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.0,0.0,0.0,0.08378284437789026,0.8011566272005536,0.9962745870641629,0.9999997466415167,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4.0,0.0,0.0,0.03300093942281572,0.40413262378019377,0.8450285694980973,0.9984119018917893,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5.0,0.0,0.0,0.05182574517031158,0.37788870976122707,0.7837151746169913,0.997499824923163,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6.0,0.0,0.9997108279286891,0.9997108279286891,0.9997108279286891,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7.0,0.0,0.0,0.027209348222152263,0.39382611527246586,0.833981297980263,0.9984743319508785,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8.0,0.0,0.9996824898478441,0.9996824898478441,0.9996824898478441,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9.0,0.0,0.9996537085755799,0.9996537085755799,0.9996537085755799,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10.0,0.0,0.9994946766219631,0.9994946766219631,0.9994946766219631,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11.0,0.0,0.999518140237447,0.999518140237447,0.999518140237447,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12.0,0.0,0.9995584805580882,0.9995584805580882,0.9995584805580882,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13.0,0.0,0.0,0.11481768716918969,0.9894331870958738,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14.0,0.0,0.9996870496649638,0.9996870496649638,0.9996870496649638,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15.0,0.0,0.9996451651631045,0.9996451651631045,0.9996451651631045,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16.0,0.0,0.9996812048277206,0.9996812048277206,0.9996812048277206,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17.0,0.0,0.9996219424452983,0.9996219424452983,0.9996219424452983,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18.0,0.0,0.9991793688357418,0.9991793688357418,0.9999218300307886,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19.0,0.0,0.9996469138290706,0.9996469138290706,0.9996469138290706,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20.0,0.0,0.9997149101303564,0.9997149101303564,0.9997149101303564,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21.0,0.0,0.9994628159484346,0.9994628159484346,0.9995500586405112,0.9996916949016271,0.9999484222503987,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22.0,0.0,0.9993618806434141,0.9993618806434141,0.9999398937120054,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23.0,0.0,0.999696732905672,0.999696732905672,0.999696732905672,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24.0,0.0,0.0,0.0,0.971973729700848,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25.0,0.0,0.9995657577547429,0.9995657577547429,0.9995657577547429,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26.0,0.0,0.0,0.0,0.5827524695915786,0.9537394314103211,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27.0,0.0,0.9995590091167352,0.9995590091167352,0.9995590091167352,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28.0,0.0,0.9993955753628353,0.9993955753628353,0.9995618181779903,0.9999529824689127,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29.0,0.0,0.0,0.0,0.9822157890634362,0.9999993943789076,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30.0,0.0,0.0,0.0,0.6094353742641231,0.9972929661024585,0.9999713015037222,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31.0,0.0,0.999459490574495,0.999459490574495,0.9995494335811776,0.9996979230657178,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
32.0,0.0,0.9990739274801244,0.9990739274801244,0.9999823973230891,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
33.0,0.0,0.9995675647767742,0.9995675647767742,0.9995675647767742,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
34.0,0.0,0.9994834147616277,0.9994834147616277,0.9995559276295571,0.9996618302269253,0.9999812181885063,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
35.0,0.0,0.0,0.0,0.9807613290551949,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
36.0,0.0,0.9992625774825725,0.9992625774825725,0.9999365896061013,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
37.0,0.0,0.0,0.06186400784640981,0.8579579847871032,0.9952986537956549,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
38.0,0.0,0.0,0.05083368860894292,0.38148390421645967,0.7822210634803715,0.9974646658093014,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
39.0,0.0,0.0,0.04522859350510109,0.557577005619328,0.9792403587895535,0.9979121868099199,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
40.0,0.0,0.0,0.16389769799859594,0.9660830182659823,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
41.0,0.0,0.9993772088109432,0.9993772088109432,0.9999405808082975,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
42.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
43.0,0.0,0.9989361961480008,0.9989361961480008,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
44.0,0.0,0.9997140434830438,0.9997140434830438,0.9997140434830438,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
45.0,0.0,0.9989676306687044,0.9989676306687044,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
46.0,0.0,0.9992090346689464,0.9992090346689464,0.9999220470534339,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
47.0,0.0,0.99929781572811,0.99929781572811,0.999937565938654,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
48.0,0.0,0.0,0.0,0.9766021982513269,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
49.0,0.0,0.0,0.06803242950135062,0.836923319691463,0.9956117531091984,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50.0,0.0,0.0,0.09976571978032867,0.9847325863263807,0.9999814661757209,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
51.0,0.0,0.9997008819083156,0.9997008819083156,0.9997008819083156,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
52.0,0.0,0.9989323662552425,0.9989323662552425,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
53.0,0.0,0.0,0.12017507177724639,0.9844927104187682,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
54.0,0.0,0.0,0.05284308785566368,0.43005818801272233,0.8226981481457074,0.9986593979594607,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
55.0,0.0,0.0,0.18352688447477614,0.9741264425388179,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
56.0,0.0,0.0,0.05534650018002743,0.8347558568293876,0.9955510581712322,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
57.0,0.0,0.0,0.0,0.3722938328543498,0.8019403513499878,0.9986091162957629,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
58.0,0.0,0.0,0.06199650806279029,0.49362754868373493,0.9033604123263785,0.9983917329217665,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
59.0,0.0,0.0,0.0,0.351688293862208,0.7715280728962701,0.9973456903023458,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
60.0,0.0,0.0,0.0,0.4231798131196889,0.8266319734575068,0.9985660041591118,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
