trial_number,budget_1,budget_2,budget_3,budget_4,budget_5,budget_6,budget_7,budget_8,budget_9,budget_10,budget_11,budget_12,budget_13,budget_14,budget_15,budget_16
1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0,0.0,0.22325689349986835,0.22325689349986835,0.3815884022245597,0.3815884022245597,0.3815884022245597,0.4256926600417461,0.4622827961988972,0.5106686631240489,0.5186229440602337,0.5590759058697712,0.6370399492260969,0.677514691271125,0.7618995268889444,0.8245062464069406,0.8806682403969998
3.0,0.0,0.0,0.049854037597851314,0.07577012551247143,0.07577012551247143,0.07577012551247143,0.07577012551247143,0.07577012551247143,0.07577012551247143,0.07577012551247143,0.07577012551247143,0.07577012551247143,0.07577012551247143,0.07577012551247143,0.07577012551247143,0.07577012551247143
4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.0,0.0,0.0,0.0,0.056709025758309474,0.056709025758309474,0.056709025758309474,0.056709025758309474,0.056709025758309474,0.12093609613718202,0.12093609613718202,0.12093609613718202,0.12093609613718202,0.3106209496998039,0.359156415810244,0.3769218410315508,0.3770706652356509
6.0,0.0,0.6895743501358298,0.7402750754659937,0.8816523366869438,0.9750786726338473,0.9750786726338473,0.9750786726338473,0.9750786726338473,0.9750786726338473,0.9818361497049585,0.9818361497049585,0.9818361497049585,0.9818361497049585,0.9818361497049585,0.9832094062932036,0.9832094062932036
7.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.0,0.0,0.0,0.0,0.0,0.0,0.11939634448817094,0.4430760640375523,0.6007994188374294,0.6007994188374294,0.6007994188374294,0.630972857306991,0.7190662676700441,0.8239684307620049,0.8239684307620049,0.869776150982269,0.869776150982269
9.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10.0,0.0,0.8586952888546837,0.8586952888546837,0.8586952888546837,0.8897473061404655,0.8936961341525014,0.8936961341525014,0.8936961341525014,0.8936961341525014,0.8936961341525014,0.8936961341525014,0.8936961341525014,0.8936961341525014,0.8936961341525014,0.8936961341525014,0.8936961341525014
11.0,0.0,0.5149895220030335,0.5149895220030335,0.515788688148797,0.515788688148797,0.515788688148797,0.515788688148797,0.8163386353806036,0.9170459761250465,0.9170459761250465,0.9170459761250465,0.9170459761250465,0.9170459761250465,0.9170459761250465,0.9170459761250465,0.9170459761250465
12.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13.0,0.0,0.0,0.6541784864606138,0.6541784864606138,0.6660666887493413,0.7908805141421409,0.8938437468330848,0.9550235785019464,0.9550235785019464,0.9550235785019464,0.9550235785019464,0.9550235785019464,0.9550235785019464,0.9550235785019464,0.9655460457608205,0.9667226884547238
14.0,0.0,0.5066762998438586,0.586646857749423,0.654236152613536,0.7621355414606554,0.868191874209218,0.9482569691310712,0.9482569691310712,0.9482569691310712,0.9754896944654418,0.9754896944654418,0.9754896944654418,0.9754896944654418,0.9754896944654418,0.9813312778348305,0.9813312778348305
15.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17.0,0.0,0.5661694008622072,0.5661694008622072,0.5661694008622072,0.5661694008622072,0.6121903941098352,0.6121903941098352,0.6375671808342288,0.6375671808342288,0.7497922584103144,0.7497922584103144,0.7497922584103144,0.8016541003925605,0.8880786194283359,0.9384994499954997,0.9384994499954997
18.0,0.0,0.8027206131714121,0.8047081251569698,0.8047081251569698,0.8185512458711741,0.8278567632988642,0.8278567632988642,0.8278567632988642,0.836375699937386,0.8428274792639856,0.8428274792639856,0.8476889282406491,0.8476889282406491,0.8498385916357982,0.8498385916357982,0.8498385916357982
19.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21.0,0.0,0.45806966076183525,0.5562932933021558,0.5562932933021558,0.5663947907350024,0.5769079892974884,0.5990442479436321,0.6263538642875278,0.7066386631329099,0.8422862941249516,0.8528982818049095,0.8673147503863227,0.8673147503863227,0.8978556308745373,0.8978556308745373,0.8978556308745373
22.0,0.0,0.0,0.37902435970207216,0.37902435970207216,0.8515588213622766,0.8515588213622766,0.8515588213622766,0.8515588213622766,0.8515588213622766,0.8515588213622766,0.8515588213622766,0.8515588213622766,0.8515588213622766,0.8515588213622766,0.8515588213622766,0.8515588213622766
23.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25.0,0.0,0.0,0.0,0.0,0.0,0.959751645077517,0.959751645077517,0.959751645077517,0.959751645077517,0.959751645077517,0.959751645077517,0.959751645077517,0.982913010102316,0.9893647042059824,0.9902989121951475,0.9907331938789737
26.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27.0,0.0,0.0,0.11567757575494107,0.11567757575494107,0.12467133208518238,0.1804839983194024,0.1804839983194024,0.1804839983194024,0.1804839983194024,0.1804839983194024,0.1804839983194024,0.1804839983194024,0.1804839983194024,0.1804839983194024,0.1804839983194024,0.1804839983194024
28.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09157090877161599,0.8939482671472626,0.8939482671472626,0.8939482671472626,0.8939482671472626,0.8939482671472626,0.9219274831567562,0.9418623486942694,0.9418623486942694,0.9418623486942694
30.0,0.0,0.740765757966381,0.740765757966381,0.7467919447256747,0.7862784981643357,0.8241671262928042,0.8241671262928042,0.8241671262928042,0.8241671262928042,0.8241671262928042,0.8339109596229695,0.8339109596229695,0.8419627017522651,0.8663214174440299,0.8906334812812372,0.9124291111126889
31.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.0,0.0,0.1322917936211181,0.1322917936211181,0.9211406419965011,0.9211406419965011,0.9218584357441358,0.9218584357441358,0.9218584357441358,0.9218584357441358,0.9218584357441358,0.9218584357441358,0.9218584357441358,0.9218584357441358,0.9218584357441358,0.9323168241391379,0.9495876323893434
33.0,0.0,0.5773828247266217,0.5838857198794374,0.5838857198794374,0.58437492654018,0.58437492654018,0.6033972928459409,0.6307108778212258,0.6307108778212258,0.6307108778212258,0.643584309088331,0.7025976784339273,0.7332015908816403,0.746963400155184,0.7693151272707188,0.8032527973453265
34.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36.0,0.0,0.0,0.015778476179333506,0.02180672499549311,0.045848641168538845,0.4047841404947188,0.5214798732963759,0.6114773588695768,0.6114773588695768,0.6423360572628083,0.6423360572628083,0.6423360572628083,0.6423360572628083,0.6423360572628083,0.6423360572628083,0.6440717185772383
37.0,0.0,0.7135527967033665,0.7674029275375512,0.7674029275375512,0.7674029275375512,0.8403638898129187,0.9117806418717147,0.9556286016412858,0.9556286016412858,0.9556286016412858,0.9664619428267922,0.9664619428267922,0.9664619428267922,0.9676231885480044,0.9676231885480044,0.9676231885480044
38.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40.0,0.0,0.0,0.1612387571912099,0.1612387571912099,0.1612387571912099,0.1612387571912099,0.1612387571912099,0.1612387571912099,0.1612387571912099,0.1612387571912099,0.1612387571912099,0.1612387571912099,0.1612387571912099,0.1612387571912099,0.1612387571912099,0.1612387571912099
41.0,0.0,0.40204487235983055,0.45162700455418237,0.5336997100830653,0.6099277173250223,0.6723058327615037,0.6723058327615037,0.7238762139310931,0.7719391593303533,0.8119972151248858,0.8470004456453698,0.8746325605995704,0.8746325605995704,0.8746325605995704,0.8926598380890501,0.8926598380890501
42.0,0.0,0.6065723853555447,0.624787549846186,0.6917418020573686,0.7397469674608832,0.7799125944361255,0.8135789679514747,0.8135789679514747,0.8333336370658883,0.8528373655716629,0.8528373655716629,0.8662310505624751,0.8662310505624751,0.8755454864158596,0.8812219011481695,0.8812219011481695
43.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44.0,0.0,0.0,0.0,0.017551560856323558,0.017551560856323558,0.017551560856323558,0.018065898760693908,0.018065898760693908,0.018065898760693908,0.018065898760693908,0.018065898760693908,0.018065898760693908,0.018065898760693908,0.018065898760693908,0.018065898760693908,0.018065898760693908
45.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
46.0,0.0,0.0,0.0,0.0,0.021090443145732066,0.021090443145732066,0.021090443145732066,0.021090443145732066,0.021090443145732066,0.021090443145732066,0.021090443145732066,0.021090443145732066,0.021090443145732066,0.021090443145732066,0.021090443145732066,0.03103201773107961
47.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
48.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
49.0,0.0,0.05043593082116669,0.05068655504052227,0.05068655504052227,0.05068655504052227,0.05068655504052227,0.05068655504052227,0.05068655504052227,0.05068655504052227,0.05068655504052227,0.05068655504052227,0.05068655504052227,0.9550153789772521,0.9550153789772521,0.9550153789772521,0.9694712049930866
50.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
